amortization_type,noise_level,accuracy_clean,accuracy_noisy,accuracy_denoised,mse_noisy,mse_denoised
Gaussian,0.1,0.9286089238845144,0.9254593175853019,0.9270341207349081,0.009847000241279602,0.006343191489577293
Gaussian,0.3666666666666667,0.9286089238845144,0.9133858267716536,0.9233595800524934,0.1323874443769455,0.058614905923604965
Gaussian,0.6333333333333333,0.9286089238845144,0.8719160104986876,0.910761154855643,0.39497411251068115,0.14428460597991943
Gaussian,0.9,0.9286089238845144,0.8335958005249344,0.8834645669291339,0.7976069450378418,0.24187856912612915
Gaussian,1.1666666666666667,0.9286089238845144,0.7968503937007874,0.8661417322834646,1.340286135673523,0.337990939617157
Gaussian,1.4333333333333333,0.9286089238845144,0.7606299212598425,0.8356955380577428,2.0230114459991455,0.42651131749153137
Gaussian,1.7000000000000002,0.9286089238845144,0.7333333333333333,0.8141732283464567,2.845782995223999,0.5060225129127502
Gaussian,1.9666666666666668,0.9286089238845144,0.7112860892388452,0.7826771653543307,3.808600664138794,0.5778594613075256
Gaussian,2.2333333333333334,0.9286089238845144,0.6913385826771653,0.7606299212598425,4.911464691162109,0.6396397352218628
Gaussian,2.5,0.9286089238845144,0.6750656167979002,0.7349081364829396,6.154375076293945,0.694916307926178
mean,0.1,0.9286089238845144,0.9254593175853019,0.9275590551181102,0.009847000241279602,0.006341194733977318
mean,0.3666666666666667,0.9286089238845144,0.9133858267716536,0.9228346456692913,0.1323874443769455,0.058490678668022156
mean,0.6333333333333333,0.9286089238845144,0.8719160104986876,0.910761154855643,0.39497411251068115,0.14432591199874878
mean,0.9,0.9286089238845144,0.8335958005249344,0.8834645669291339,0.7976069450378418,0.2415337711572647
mean,1.1666666666666667,0.9286089238845144,0.7968503937007874,0.8677165354330708,1.340286135673523,0.337509423494339
mean,1.4333333333333333,0.9286089238845144,0.7606299212598425,0.8377952755905512,2.0230114459991455,0.42684683203697205
mean,1.7000000000000002,0.9286089238845144,0.7333333333333333,0.8110236220472441,2.845782995223999,0.5062850713729858
mean,1.9666666666666668,0.9286089238845144,0.7112860892388452,0.7821522309711286,3.808600664138794,0.5775265693664551
mean,2.2333333333333334,0.9286089238845144,0.6913385826771653,0.7616797900262468,4.911464691162109,0.6395878195762634
mean,2.5,0.9286089238845144,0.6750656167979002,0.7349081364829396,6.154375076293945,0.6952332854270935
covariance,0.1,0.9286089238845144,0.9254593175853019,0.926509186351706,0.009847000241279602,0.0067118434235453606
covariance,0.3666666666666667,0.9286089238845144,0.9133858267716536,0.9238845144356955,0.1323874443769455,0.0547601655125618
covariance,0.6333333333333333,0.9286089238845144,0.8719160104986876,0.910761154855643,0.39497411251068115,0.135398268699646
covariance,0.9,0.9286089238845144,0.8335958005249344,0.8902887139107611,0.7976069450378418,0.22879302501678467
covariance,1.1666666666666667,0.9286089238845144,0.7968503937007874,0.868766404199475,1.340286135673523,0.32167211174964905
covariance,1.4333333333333333,0.9286089238845144,0.7606299212598425,0.841994750656168,2.0230114459991455,0.4092577397823334
covariance,1.7000000000000002,0.9286089238845144,0.7333333333333333,0.8173228346456692,2.845782995223999,0.4874723553657532
covariance,1.9666666666666668,0.9286089238845144,0.7112860892388452,0.794750656167979,3.808600664138794,0.557214617729187
covariance,2.2333333333333334,0.9286089238845144,0.6913385826771653,0.7711286089238845,4.911464691162109,0.6189205050468445
covariance,2.5,0.9286089238845144,0.6750656167979002,0.7532808398950132,6.154375076293945,0.6727892160415649
both,0.1,0.9286089238845144,0.9254593175853019,0.9270341207349081,0.009847000241279602,0.0067098718136549
both,0.3666666666666667,0.9286089238845144,0.9133858267716536,0.9238845144356955,0.1323874443769455,0.05473221838474274
both,0.6333333333333333,0.9286089238845144,0.8719160104986876,0.9112860892388451,0.39497411251068115,0.13533920049667358
both,0.9,0.9286089238845144,0.8335958005249344,0.8908136482939633,0.7976069450378418,0.22903986275196075
both,1.1666666666666667,0.9286089238845144,0.7968503937007874,0.868766404199475,1.340286135673523,0.3228534162044525
both,1.4333333333333333,0.9286089238845144,0.7606299212598425,0.8435695538057743,2.0230114459991455,0.40848308801651
both,1.7000000000000002,0.9286089238845144,0.7333333333333333,0.8183727034120735,2.845782995223999,0.4876680374145508
both,1.9666666666666668,0.9286089238845144,0.7112860892388452,0.794750656167979,3.808600664138794,0.5569261312484741
both,2.2333333333333334,0.9286089238845144,0.6913385826771653,0.7695538057742782,4.911464691162109,0.6189842820167542
both,2.5,0.9286089238845144,0.6750656167979002,0.7501312335958005,6.154375076293945,0.6718973517417908
