,Mean MSE,2 * StdErr
AJS without covariates,184.47085691150278,1.3412725641406298
AVAR without covariates,197.6384840963874,16.55888384255324
AEB without covariates,180.5138927011285,1.35900657038593
AJS with covariates,184.50445088092238,1.3425004177399773
Reduced dimensions (Mean),226.78013701806776,1.502349375889807
Reduced dimensions (Variance),195.6098164373543,2.908260833071279
Reduced dimensions (Both),157.78159839101136,1.324878726072179
