,Mean MSE,2 * StdErr
AJS without covariates,82.73516163171735,0.5596484915558204
AVAR without covariates,82.82205053546932,0.6783254014566401
AEB without covariates,80.72884644207079,0.5257133832339081
AJS with covariates,82.73617240774911,0.5587422947267107
Reduced dimensions (Mean),89.38484839745797,0.5774266420584648
Reduced dimensions (Variance),83.68469898414332,0.795794352451465
Reduced dimensions (Both),75.14059259847272,0.6089209970608503
